t_index   term            df    
2507      butcher         4     
2508      butter          1     
2509      button          3     
2510      buttress        5     
2511      buy             42    
2512      buyer           2     
2513      buying          2     
2514      buzz            6     
2515      bye             1     
2516      bypass          5     
2517      bypassed        1     
2518      byrd            6     
2519      c               31    
2520      c117            1     
2521      c130            3     
2522      c141            4     
2523      c4              5     
2524      c9              5     
2525      ca              1     
2526      cab             2     
2527      cabana          1     
2528      cabin           2     
2529      cabinet         31    
2530      cabl            5     
2531      cacak           8     
2532      cach            2     
2533      cadav           1     
2534      cadet           1     
2535      caeti           1     
2536      cafe            4     
2537      cafetalon       1     
2538      cafeteria       1     
2539      cage            5     
2540      cagl            1     
2541      cahokia         3     
2542      cairo           5     
2543      caisson         1     
2544      cake            5     
2545      cal             2     
2546      calam           5     
2547      calamit         1     
2548      calatrava       2     
2549      calcul          9     
2550      calculu         1     
2551      calcutta        3     
2552      calderon        1     
2553      calena          1     
2554      caley           1     
2555      calhoun         1     
2556      calib           1     
2557      calif           6     
2558      california      32    
2559      calina          1     
2560      calix           1     
2561      call            363   
2562      callahan        1     
2563      callen          3     
2564      caller          5     
2565      callin          1     
2566      calloff         1     
2567      callou          1     
2568      callous         1     
2569      calm            38    
2570      calmli          1     
2571      calvario        6     
2572      calvert         1     
2573      cambodia        3     
2574      camden          1     
2575      came            236   
2576      camel           3     
2577      camera          25    
2578      cameraman       3     
2579      cameroon        2     
2580      camouflag       7     
2581      camp            49    
2582      campaign        154   
2583      campaigning     1     
2584      campaigns       2     
2585      campbel         1     
2586      campfir         3     
2587      campground      1     
2588      campu           2     
2589      can             6     
2590      canada          14    
2591      canal           21    
2592      canberra        1     
2593      cancel          38    
2594      cancer          45    
2595      candid          135   
2596      candidaci       15    
2597      candidate       3     
2598      candidates      4     
2599      candiotti       2     
2600      candl           3     
2601      candlelight     4     
2602      cando           2     
2603      candor          2     
2604      cane            2     
2605      canist          2     
2606      cannaday        3     
2607      cannistraro     4     
2608      cannon          3     
2609      cannot          62    
2610      canon           1     
2611      canopi          2     
2612      cant            59    
2613      canton          1     
2614      cantwel         4     
2615      canva           3     
2616      canvass         3     
2617      cap             19    
2618      capabl          25    
2619      capac           15    
2620      cape            2     
2621      capit           159   
2622      capitalist      2     
2623      capitol         28    
2624      capitul         1     
2625      capp            1     
2626      capriati        33    
2627      capsul          2     
2628      capt            30    
2629      captain         27    
2630      captiv          6     
2631      captor          4     
2632      captur          58    
2633      car             97    
2634      caraca          2     
2635      caravan         3     
2636      carbomb         1     
2637      carbon          2     
2638      card            21    
2639      cardboard       1     
2640      cardiopulmonari 1     
2641      care            84    
2642      career          48    
2643      careerend       1     
2644      careerhigh      1     
2645      carefullypreserv1     
2646      caretak         4     
2647      carey           1     
2648      cargo           12    
2649      caribbean       2     
2650      carin           1     
2651      cario           1     
2652      carjack         2     
2653      carl            4     
2654      carlo           29    
2655      carlson         1     
2656      carlton         1     
2657      carman          1     
2658      carmelo         2     
2659      carmen          4     
2660      carmodi         4     
2661      carnahan        66    
2662      carnahan2000    6     
2663      carnahand       1     
2664      carnahans       2     
2665      carnivallik     1     
2666      carol           6     
2667      carolina        5     
2668      carpent         7     
2669      carper          8     
2670      carpet          3     
2671      carpetbagg      2     
2672      carr            1     
2673      carri           182   
2674      carrier         20    
2675      carrol          2     
2676      carrot          1     
2677      carsiz          1     
2678      carson          5     
2679      cart            1     
2680      carter          10    
2681      carthag         2     
2682      carv            9     
2683      carver          1     
2684      case            168   
2685      casebycas       1     
2686      casetch         1     
2687      cash            22    
2688      cashier         1     
2689      cashstrap       3     
2690      casino          1     
2691      casket          16    
2692      cast            47    
2693      castellano      2     
2694      castiel         1     
2695      castil          1     
2696      castleburi      4     
2697      castro          8     
2698      casual          2     
2699      casualti        22    
2700      cat             2     
2701      cataclysm       1     
2702      catalyst        1     
2703      catastroph      12    
2704      catcal          1     
2705      catch           15    
2706      catchup         1     
2707      cate            4     
2708      categor         1     
2709      categori        1     
2710      caterpillar     2     
2711      cathedr         1     
2712      catherin        3     
2713      cathi           1     
2714      cathol          7     
2715      catholicrelief  1     
2716      cattl           2     
2717      caucasian       2     
2718      caught          46    
2719      caus            132   
2720      caution         18    
2721      cautiou         19    
2722      cautious        2     
2723      cave            3     
2724      cavern          1     
2725      cavort          1     
2726      cawl            3     
2727      cayman          3     
2728      cb              4     
2729      cbs             2     
2730      cbsnew          1     
2731      cd              1     
2732      ceas            7     
2733      ceasefir        7     
2734      ceaselessli     2     
2735      ceausescu       1     
2736      cecil           1     
2737      cedar           2     
2738      cede            3     
2739      cedomir         1     
2740      cedric          6     
2741      ceil            2     
2742      celebr          83    
2743      celebrateor     1     
2744      celera          1     
2745      celest          1     
2746      cell            23    
2747      cellblock       1     
2748      cellphon        2     
2749      cellular        10    
2750      cement          6     
2751      cementreinforc  1     
2752      cemeteri        8     
2753      censor          2     
2754      censorship      2     
2755      cent            1     
2756      centcom         2     
2757      center          140   
2758      centercourt     4     
2759      centerleft      1     
2760      centerpiec      2     
2761      centigrad       1     
2762      centimet        1     
2763      central         84    
2764      centrist        6     
2765      centuri         23    
2766      century         1     
2767      ceo             1     
2768      ceremoni        52    
2769      cerf            9     
2770      cerna           3     
2771      certain         36    
2772      certainli       56    
2773      certainti       4     
2774      certif          3     
2775      certifi         3     
2776      cesar           2     
2777      cessat          1     
2778      cessna          7     
2779      cetera          1     
2780      cetinj          1     
2781      cha             1     
2782      chad            1     
2783      chadwick        2     
2784      chafe           3     
2785      chagrin         1     
2786      chain           10    
2787      chair           17    
2788      chairman        55    
2789      chairmen        3     
2790      chalk           2     
2791      challeng        84    
2792      challenge       1     
2793      chamber         16    
2794      chamberlain     2     
2795      chameleon       1     
2796      champ           9     
2797      champion        55    
2798      championship    7     
2799      chanc           97    
2800      chance          2     
2801      chancellor      5     
2802      chanda          3     
2803      chandeli        2     
2804      chandler        6     
2805      chandrika       1     
2806      chang           143   
2807      change          2     
2808      changeov        9     
2809      changes         1     
2810      channel         18    
2811      chant           30    
2812      chanting        1     
2813      chao            35    
2814      chaos           1     
2815      chaotic         7     
2816      chap            2     
2817      chapel          4     
2818      chaplain        7     
2819      chaplin         1     
2820      chappaqua       11    
2821      chapter         7     
2822      char            3     
2823      charact         13    
2824      character       8     
2825      characterist    5     
2826      charad          1     
2827      charg           191   
2828      charge          2     
2829      charisma        2     
2830      charit          5     
2831      chariti         5     
2832      charl           24    
2833      charleston      2     
2834      charlestown     1     
2835      charli          2     
2836      charlott        2     
2837      chart           2     
2838      charter         7     
2839      chase           22    
2840      chasm           2     
2841      chat            5     
2842      chattanooga     1     
2843      chatti          1     
2844      chau            1     
2845      chauffeur       1     
2846      chavez          4     
2847      cheap           1     
2848      cheat           11    
2849      chebeck         8     
2850      chechnya        8     
2851      check           40    
2852      checker         1     
2853      checkpoint      2     
2854      checkup         3     
2855      cheek           1     
2856      cheer           34    
2857      cheerlead       2     
2858      chees           1     
2859      chef            2     
2860      chela           4     
2861      chell           1     
2862      chelsea         17    
2863      chemic          7     
2864      chemistri       3     
2865      chemotherapi    1     
2866      cheney          31    
2867      cheri           12    
2868      cherish         2     
2869      chernomyrdin    2     
2870      cheroke         3     
2871      cheron          3     
2872      cherri          2     
2873      chesapeak       1     
2874      chest           8     
2875      chetna          1     
2876      chetsov         1     
2877      chew            1     
2878      chi             25    
2879      chic            1     
2880      chicago         6     
2881      chicken         2     
2882      chide           1     
2883      chief           196   
2884      chiefli         3     
2885      child           45    
2886      childhood       4     
2887      children        69    
2888      chile           8     
2889      chill           13    
2890      chilli          5     
2891      chillicoth      1     
2892      china           31    
2893      chinayugoslavia 2     
2894      chines          10    
2895      chineseamerican 2     
2896      chinfo          4     
2897      ching           1     
2898      chink           1     
2899      chino           1     
2900      chip            8     
2901      chirac          6     
2902      chisel          1     
2903      chizhov         1     
2904      chizov          1     
2905      chladkova       3     
2906      chlorin         4     
2907      chocol          1     
2908      choi            1     
2909      choic           38    
2910      choice          4     
2911      choices         1     
2912      chok            1     
2913      choke           7     
2914      cholera         1     
2915      chomp           1     
2916      chon            1     
2917      choos           18    
2918      chopper         1     
2919      chopstick       1     
2920      choreograph     1     
2921      chorichech      1     
2922      choru           1     
2923      chose           13    
2924      chosen          14    
2925      chouchescu      1     
2926      chow            1     
2927      chri            34    
2928      chrisdorton     1     
2929      christen        3     
2930      christi         4     
2931      christian       27    
2932      christianchildrensfund1     
2933      christina       3     
2934      christma        61    
2935      christmasev     1     
2936      christoph       17    
2937      chronic         2     
2938      chronicl        2     
2939      chrysanthemum   1     
2940      chu             1     
2941      chubbi          2     
2942      chuck           9     
2943      chuckl          2     
2944      chudakova       3     
2945      chunk           4     
2946      church          43    
2947      churchvil       1     
2948      churchworldservic1     
2949      cia             23    
2950      cienfuego       1     
2951      cigarett        1     
2952      cigarettes      1     
2953      cinder          1     
2954      cinderblock     3     
2955      cinema          2     
2956      circl           19    
2957      circu           3     
2958      circuit         8     
2959      circul          8     
2960      circumst        32    
2961      circumstanti    2     
2962      circumv         3     
2963      cisnero         7     
2964      ciss            1     
2965      citadel         1     
2966      citat           2     
2967      cite            38    
2968      citi            214   
2969      cities          1     
2970      citiestown      3     
2971      citizen         69    
2972      citizenri       2     
2973      citizens        4     
2974      citizenship     10    
2975      city            8     
2976      citywid         1     
2977      civic           4     
2978      civil           61    
2979      civilian        52    
2980      clad            1     
2981      claiborn        1     
2982      claim           129   
2983      clair           6     
2984      clamber         5     
2985      clamor          3     
2986      clandestin      2     
2987      clap            1     
2988      clarenc         1     
2989      clarifi         3     
2990      clariti         1     
2991      clark           41    
2992      clarkston       1     
2993      clash           51    
2994      clashes         3     
2995      clasp           1     
2996      class           29    
2997      classic         7     
2998      classifi        36    
2999      classmat        2     
3000      classroom       2     
3001      clavet          1     
3002      claw            6     
3003      clay            4     
3004      claycourt       1     
3005      clean           22    
3006      cleanair        1     
3007      cleanli         1     
3008      cleans          6     
3009      cleansing       2     
3010      clear           187   
3011      clearanc        4     
3012      clearance       1     
3013      clearer         4     
3014      clearest        1     
3015      clearli         56    
3016      cleavag         1     
3017      cleaver         1     
3018      clemenc         31    
3019      clemency        2     
3020      clement         24    
3021      clergi          2     
3022      cleric          3     
3023      clerk           6     
3024      cleveland       1     
3025      clever          4     
3026      cleverli        1     
3027      click           2     
3028      client          9     
3029      clients         2     
3030      cliffhang       1     
3031      clifford        2     
3032      clijster        11    
3033      climact         1     
3034      climat          3     
3035      climatecontrol  1     
3036      climax          4     
3037      climb           22    
3038      clime           1     
3039      clinch          2     
3040      cling           8     
3041      clinic          8     
3042      clink           1     
3043      clinton         271   
3044      clintonesqu     1     
3045      clintongor      1     
3046      clintonit       1     
3047      clintonlazio    2     
3048      clintons        5     
3049      clip            2     
3050      clister         1     
3051      cloak           1     
3052      clock           8     
3053      clod            1     
3054      clodfelt        3     
3055      clodfelter      2     
3056      clog            1     
3057      cloister        1     
3058      cloner          1     
3059      closabl         1     
3060      close           252   
3061      closeddoor      6     
3062      closeknit       1     
3063      closemouth      1     
3064      closer          29    
3065      closest         32    
3066      closet          1     
3067      closeup         1     
3068      closhg          1     
3069      closur          7     
3070      cloth           44    
3071      cloud           21    
3072      cloudless       1     
3073      clout           4     
3074      clown           1     
3075      clton           1     
3076      club            15    
3077      clue            27    
3078      clump           1     
3079      clumsi          1     
3080      clung           2     
3081      cluster         4     
3082      clutch          4     
3083      clyde           1     
3084      cmc             1     
3085      cmdr            35    
3086      cnn             49    
3087      co              8     
3088      coach           15    
3089      coachlight      8     
3090      coal            31    
3091      coalfir         1     
3092      coalit          34    
3093      coalition       2     
3094      coalitionbuild  1     
3095      coalmin         1     
3096      coast           106   
3097      coastal         10    
3098      coastlin        9     
3099      coat            8     
3100      coauthor        1     
3101      coax            3     
3102      cobar           1     
3103      coburn          4     
3104      coca            2     
3105      cocain          8     
3106      cochran         4     
3107      cochranvil      1     
3108      cock            6     
3109      cocker          1     
3110      cocktail        3     
3111      coco            2     
3112      cocoa           14    
3113      cocodi          3     
3114      code            7     
3115      codefend        1     
3116      codi            5     
3117      codirector      1     
3118      coercion        1     
3119      coetzer         16    
3120      coetzerhingi    2     
3121      coexist         1     
3122      coey            1     
3123      coffe           25    
3124      coffeepick      1     
3125      coffeerel       1     
3126      coffer          2     
3127      coffield        1     
3128      coffin          14    
3129      cognac          1     
3130      cohen           56    
3131      coher           1     
3132      cohes           3     
3133      cohort          1     
3134      coil            2     
3135      coin            3     
3136      coincid         6     
3137      coincident      1     
3138      cojustic        1     
3139      coker           1     
3140      coki            2     
3141      col             18    
3142      cold            43    
3143      coldblood       1     
3144      cole            289   
3145      coleman         1     
3146      coler           7     
3147      coles           6     
3148      colin           7     
3149      colina          23    
3150      collabor        2     
3151      collaboration   1     
3152      collag          1     
3153      collaps         86    
3154      collarpin       1     
3155      collat          2     
3156      colleagu        14    
3157      colleagues      9     
3158      collect         32    
3159      collector       5     
3160      colleg          34    
3161      collegeag       1     
3162      coller          4     
3163      collid          7     
3164      collin          2     
3165      collis          20    
3166      collus          1     
3167      colo            9     
3168      colobora        1     
3169      colombia        10    
3170      colombian       3     
3171      colon           4     
3172      coloni          20    
3173      colonna         1     
3174      colony          2     
3175      color           13    
3176      colorado        24    
3177      columbia        14    
3178      columbin        1     
3179      column          7     
3180      columnist       1     
3181      com             35    
3182      comasagua       5     
3183      comb            10    
3184      combat          22    
3185      combin          20    
3186      combrat         1     
3187      come            264   
3188      comeback        17    
3189      comedian        1     
3190      comefrombehind  1     
3191      comen           1     
3192      comfort         25    
3193      comic           1     
3194      coming          1     
3195      command         127   
3196      commanders      4     
3197      commando        5     
3198      commemor        7     
3199      commenc         1     
3200      commend         3     
3201      comment         82    
3202      commentari      5     
3203      commerc         10    
3204      commerci        38    
3205      comminut        1     
3206      commiss         94    
3207      commissari      2     
3208      commission      26    
3209      commit          88    
3210      commitment      1     
3211      committe        76    
3212      committee       4     
3213      commod          11    
3214      common          36    
3215      commonli        5     
3216      commonsens      3     
3217      commot          1     
3218      commun          112   
3219      communiqu       5     
3220      communist       58    
3221      communistrul    1     
3222      communistrun    1     
3223      communists      1     
3224      communistturnedsocialist1     
3225      community       4     
3226      commut          20    
3227      commutation     2     
3228      commutations    1     
3229      compact         1     
3230      compani         74    
3231      companies       2     
3232      companion       4     
3233      companionship   4     
3234      company         4     
3235      compar          31    
3236      comparison      9     
3237      compart         38    
3238      compartment     2     
3239      compass         5     
3240      compassion      3     
3241      compel          10    
3242      compens         3     
3243      compensatori    1     
3244      compet          16    
3245      competit        22    
3246      competitor      2     
3247      compil          4     
3248      complac         4     
3249      complain        40    
3250      complaint       21    
3251      complement      2     
3252      complet         104   
3253      complex         41    
3254      compli          5     
3255      complianc       2     
3256      complic         31    
3257      compliment      5     
3258      compos          1     
3259      composit        4     
3260      composur        5     
3261      compound        30    
3262      comprehend      1     
3263      comprehens      5     
3264      compression     1     
3265      compris         3     
3266      compromis       16    
3267      compuls         1     
3268      comput          22    
3269      computerlink    1     
3270      comrad          7     
3271      con             4     
3272      conceal         10    
3273      conced          49    
3274      conceiv         9     
3275      concentr        20    
3276      concept         7     
3277      concern         103   
3278      concerned       1     
3279      concerns        2     
3280      concernusa      1     
3281      concert         7     
3282      concess         16    
3283      conchita        3     
3284      concili         2     
3285      conciliatori    3     
3286      conclud         46    
3287      concluded       1     
3288      conclus         31    
3289      concret         38    
3290      concur          1     
3291      concuss         1     
3292      condemn         24    
3293      condit          138   
3294      condol          15    
3295      condoleezza     1     
3296      condon          2     
3297      conduct         51    
3298      conduit         1     
3299      confer          68    
3300      confess         9     
3301      confessions     1     
3302      confetti        6     
3303      confettilik     1     
3304      confettis       1     
3305      confid          60    
3306      confidence      1     
3307      confidenti      1     
3308      configur        1     
3309      confin          6     
3310      confirm         117   
3311      confisc         1     
3312      conflict        46    
3313      conform         1     
3314      confound        2     
3315      confront        39    
3316      confus          20    
3317      confusion       2     
3318      cong            1     
3319      congeni         1     
3320      congest         5     
3321      congo           2     
3322      congratul       27    
3323      congratulations 2     
3324      congreg         1     
3325      congress        112   
3326      congression     39    
3327      congressman     42    
3328      congressmen     1     
3329      congresswoman   2     
3330      conjunct        2     
3331      conn            1     
3332      connal          24    
3333      connect         65    
3334      connecticut     13    
3335      connection      1     
3336      connelli        1     
3337      connett         1     
3338      conni           7     
3339      conniv          1     
3340      connoli         1     
3341      connolli        1     
3342      connor          1     
3343      conquer         1     
3344      conqueror       3     
3345      conquest        2     
3346      conrad          6     
3347      conscienc       3     
3348      consciou        4     
3349      conscious       2     
3350      consecut        27    
3351      consensu        9     
3352      consent         2     
3353      consequ         18    
3354      consequence     1     
3355      consequenti     1     
3356      conserv         18    
3357      conservat       1     
3358      conservationist 1     
3359      conserving      1     
3360      consid          131   
3361      consider        28    
3362      consign         1     
3363      consist         14    
3364      consistu        1     
3365      consol          8     
3366      consolid        13    
3367      consortium      7     
3368      conspicu        2     
3369      conspir         6     
3370      conspiraci      18    
3371      constant        10    
3372      constantinescu  1     
3373      constantli      10    
3374      constern        1     
3375      constitu        5     
3376      constitut       105   
3377      constrain       1     
3378      constrict       1     
3379      construct       30    
3380      consul          9     
3381      consular        3     
3382      consulate       1     
3383      consult         20    
3384      consum          4     
3385      consumpt        1     
3386      contact         37    
3387      contacts        1     
3388      contain         46    
3389      contamin        1     
3390      contempl        4     
3391      contemporari    2     
3392      contempt        9     
3393      contend         25    
3394      content         20    
3395      contenti        4     
3396      contest         44    
3397      context         10    
3398      contin          6     
3399      continent       2     
3400      conting         4     
3401      continu         230   
3402      contort         1     
3403      contract        26    
3404      contractor      4     
3405      contradict      6     
3406      contrari        7     
3407      contrast        5     
3408      contribut       47    
3409      contributor     5     
3410      contrit         1     
3411      contriv         1     
3412      control         170   
3413      controversi     34    
3414      conven          8     
3415      conveni         16    
3416      convent         8     
3417      converg         14    
3418      convers         18    
3419      convert         5     
3420      convey          3     
3421      convict         123   
3422      convictsgetaway 1     
3423      convinc         27    
3424      convincingli    1     
3425      convok          1     
3426      convoy          14    
3427      cooey           1     
3428      cook            20    
3429      cool            5     
3430      cooler          2     
3431      coolingoff      3     
3432      coon            1     
3433      cooper          74    
3434      cooperation     3     
3435      coopt           1     
3436      coordin         27    
3437      cop             1     
3438      cope            9     
3439      copi            19    
3440      copper          2     
3441      coproduct       6     
3442      copsstyl        1     
3443      cord            1     
3444      cordial         3     
3445      cordillera      1     
3446      cordon          10    
3447      core            10    
3448      corech          1     
3449      coretta         1     
3450      corey           2     
3451      cori            3     
3452      corina          4     
3453      corn            2     
3454      cornahaim       1     
3455      cornaheim       1     
3456      cornard         1     
3457      corner          34    
3458      cornerston      1     
3459      cornett         2     
3460      corni           1     
3461      cornwal         1     
3462      corollari       1     
3463      coron           1     
3464      coroner         1     
3465      corp            15    
3466      corpor          14    
3467      corporation     1     
3468      corps           14    
3469      corpses         2     
3470      corpu           1     
3471      corral          1     
3472      correct         24    
3473      correctli       5     
3474      correl          4     
3475      correspond      26    
3476      corridor        2     
3477      corros          3     
3478      corrug          1     
3479      corrugatediron  1     
3480      corrupt         77    
3481      corruption      1     
3482      corzin          13    
3483      corzine         3     
3484      cosbi           1     
3485      cosic           1     
3486      cosmeniov       1     
3487      cosminov        1     
3488      cost            41    
3489      costa           4     
3490      costello        1     
3491      costelow        1     
3492      costli          5     
3493      costliest       3     
3494      cot             4     
3495      coteri          1     
3496      cotibua         1     
3497      coton           1     
3498      cotton          7     
3499      couch           2     
3500      coue            1     
3501      could           391   
3502      couldnt         54    
3503      couldv          1     
3504      coulibali       9     
3505      council         43    
3506      councilman      1     
3507      counsel         24    
3508      counselor       2     
3509      count           79    
3510      counter         18    
3511      counterattack   4     
3512      countered       1     
3513      counterintellig 4     
3514      counternarcot   1     
3515      counterpart     5     
3516      counterpunch    2     
3517      counterrevolutionari1     
3518      counterterror   11    
3519      counti          34    
3520      countless       1     
3521      countri         363   
3522      countries       1     
3523      country         116   
3524      countryman      7     
3525      countrymen      8     
3526      countrysid      14    
3527      countryside     1     
3528      countryspan     1     
3529      county          1     
3530      coup            43    
3531      coupdetour      1     
3532      coupl           37    
3533      couple          4     
3534      courag          11    
3535      courier         3     
3536      cours           62    
3537      court           190   
3538      courtappoint    2     
3539      courtesi        1     
3540      courthous       4     
3541      courtland       1     
3542      courtroom       7     
3543      courts          1     
3544      courtsid        2     
3545      courtyard       6     
3546      cousin          4     
3547      coustunitza     1     
3548      coven           1     
3549      cover           66    
3550      coverag         19    
3551      coverdel        3     
3552      coverdell       2     
3553      coverup         1     
3554      covic           3     
3555      cow             7     
3556      coward          2     
3557      cowardli        15    
3558      cowboy          3     
3559      cower           3     
3560      cowl            1     
3561      cpn             2     
3562      crabbi          1     
3563      crack           32    
3564      crackdown       10    
3565      crackl          2     
3566      cradl           1     
3567      craft           19    
3568      crafti          2     
3569      cragey          3     
3570      craggi          1     
3571      craig           13    
3572      cram            3     
3573      cramp           8     
3574      crane           18    
3575      cranni          1     
3576      crap            1     
3577      crash           85    
3578      crater          6     
3579      crave           2     
3580      crawl           9     
3581      crazi           7     
3582      creak           1     
3583      creaki          2     
3584      cream           3     
3585      creasingli      1     
3586      creat           49    
3587      creation        5     
3588      creativ         2     
3589      creator         1     
3590      credenc         2     
3591      credenti        16    
3592      credibl         42    
3593      credit          20    
3594      creditor        4     
3595      cree            1     
3596      creed           2     
3597      creek           1     
3598      creep           5     
3599      creepi          1     
3600      cremat          4     
3601      crematoria      1     
3602      crematorium     1     
3603      crept           6     
3604      crescent        1     
3605      crest           2     
3606      crestfallen     1     
3607      crevic          1     
3608      crew            133   
3609      crewman         4     
3610      crewmemb        5     
3611      crewmen         10    
3612      cri             38    
3613      crime           77    
3614      crimefight      1     
3615      crimes          1     
3616      crimin          103   
3617      criminal        2     
3618      criminolog      1     
3619      crippl          39    
3620      crise           14    
3621      crisi           52    
3622      crisis          2     
3623      crisp           3     
3624      cristo          1     
3625      criteria        2     
3626      critic          121   
3627      croat           3     
3628      croatia         14    
3629      croatian        2     
3630      croifl          1     
3631      croni           18    
3632      crook           6     
3633      crooked         1     
3634      crop            3     
3635      crosbi          5     
3636      cross           43    
3637      crosscourt      7     
3638      crossfir        1     
3639      crossleg        2     
3640      crouch          12    
3641      crous           1     
3642      crow            1     
3643      crowbar         6     
3644      crowd           104   
3645      crowdpleas      2     
3646      crowley         10    
3647      crown           8     
3648      crucial         21    
3649      crucifi         1     
3650      crude           1     
3651      crue            1     
3652      cruel           3     
3653      cruelti         3     
3654      cruis           16    
3655      cruiser         3     
3656      cruman          1     
3657      crumbl          21    
3658      crumpl          3     
3659      crusad          4     
3660      crush           22    
3661      crust           1     
3662      crutch          6     
3663      cruz            1     
3664      crwrc           1     
3665      cryptic         1     
3666      crystal         2     
3667      cuba            9     
3668      cuban           2     
3669      cubanamerican   2     
3670      cue             1     
3671      cuellar         6     
3672      culdesac        1     
3673      culmin          8     
3674      culpabl         1     
3675      culprit         8     
3676      culprits        1     
3677      cultiv          2     
3678      cultur          11    
3679      cummin          2     
3680      cun             5     
3681      cuomo           3     
3682      cup             9     
3683      cupboard        1     
3684      curb            4     
3685      curdl           1     
3686      cure            1     
3687      curfew          10    
3688      curios          2     
3689      curiou          9     
3690      currenc         2     
3691      current         52    
3692      curriculum      4     
3693      curs            4     
3694      cursori         1     
3695      curt            2     
3696      curtail         4     
3697      curtain         3     
3698      curti           3     
3699      curv            3     
3700      cush            2     
3701      cusp            1     
3702      cussin          2     
3703      custodi         21    
3704      custodian       3     
3705      custom          9     
3706      customari       2     
3707      cut             113   
3708      cutback         1     
3709      cutigua         1     
3710      cutter          7     
3711      cybercaf        1     
3712      cybernet        1     
3713      cycl            3     
3714      cyclon          1     
3715      cylind          1     
3716      cylindr         1     
3717      cynic           8     
3718      cynicism        1     
3719      cypru           1     
3720      cyr             1     
3721      czarist         1     
3722      czaristera      1     
3723      czech           14    
3724      czechoslovakian 1     
3725      d               2     
3726      da              2     
3727      dad             11    
3728      dada            1     
3729      dadiv           1     
3730      daejung         5     
3731      daewoo          5     
3732      dagestan        3     
3733      dagger          3     
3734      daili           29    
3735      daja            2     
3736      dakota          19    
3737      dakotan         1     
3738      dakouri         1     
3739      dalal           1     
3740      dale            2     
3741      daley           7     
3742      dalla           30    
3743      dallasarea      5     
3744      dallasbas       2     
3745      dallasfort      2     
3746      dalworthington  1     
3747      dam             1     
3748      damag           154   
3749      damaged         2     
3750      damascu         2     
3751      dame            1     
3752      damir           3     
3753      dammaj          1     
3754      damor           1     
3755      damp            1     
3756      dampen          2     
3757      dan             18    
3758      dana            2     
3759      danah           4     
3760      danburi         1     
3761      danc            11    
3762      dancer          3     
3763      dandelion       1     
3764      dane            1     
3765      danewich        1     
3766      danforth        3     
3767      danger          103   
3768      dangl           2     
3769      daniel          19    
3770      daniela         6     
3771      daniil          2     
3772      danni           1     
3773      danzig          4     
3774      daoud           1     
3775      dapist          1     
3776      dar             5     
3777      darden          1     
3778      dare            15    
3779      daren           7     
3780      dark            28    
3781      darken          3     
3782      darkhair        2     
3783      darl            1     
3784      darn            1     
3785      darrel          2     
3786      dart            1     
3787      darwinian       1     
3788      daschl          11    
3789      daschle         1     
3790      dash            4     
3791      dashboard       1     
3792      data            4     
3793      date            27    
3794      datelin         7     
3795      daughter        54    
3796      daughterinlaw   2     
3797      daunt           6     
3798      dave            18    
3799      davenport       44    
3800      davi            4     
3801      david           58    
3802      davidian        2     
3803      davidstyl       1     
3804      dawn            21    
3805      day             455   
3806      daybreak        3     
3807      daybyday        1     
3808      dayeb           1     
3809      daylight        4     
3810      days            2     
3811      daytoday        2     
3812      dayton          9     
3813      daytona         1     
3814      daytonhudson    3     
3815      daze            4     
3816      dazesurvivor    1     
3817      dc              6     
3818      dc10            1     
3819      dcalif          1     
3820      dconn           3     
3821      dd21            1     
3822      dday            1     
3823      de              17    
3824      dea             1     
3825      deactiv         2     
3826      dead            164   
3827      deadli          53    
3828      deadliest       16    
3829      deadlin         12    
3830      deadline        1     
3831      deadlock        3     
3832      deadon          1     
3833      deaf            1     
3834      deal            98    
3835      dealt           6     
3836      dean            5     
3837      dear            5     
3838      dearborn        1     
3839      dearli          3     
3840      death           210   
3841      deathdefi       1     
3842      deathrow        1     
3843      debar           1     
3844      debat           65    
3845      debate          4     
3846      debbi           5     
3847      deborah         3     
3848      debra           2     
3849      debri           47    
3850      debt            14    
3851      debut           1     
3852      dec             48    
3853      decad           81    
3854      decadesold      2     
3855      decay           2     
3856      deceas          8     
3857      deceit          1     
3858      decemb          79    
3859      decent          2     
3860      decentr         3     
3861      decept          1     
3862      decibel         1     
3863      decid           103   
3864      decide          1     
3865      decidedli       1     
3866      decis           173   
3867      decision        2     
3868      decisionmak     2     
3869      deck            44    
3870      declar          97    
